Books,Clothing,Electronics,Home
6376,8384,5367,4342
670,2974,10352,6590
3788,9933,0,9730
4140,0,1840,7412
1166,0,0,1955
5076,0,6185,8024
7665,8932,5664,7725
9936,10559,0,5145
347,9367,6961,3289
0,258,2145,5398
6238,4812,5924,0
3283,9404,1832,3365
6332,6288,4463,6319
0,0,0,7522
2671,3569,0,2548
6971,0,9841,1531
4499,0,3277,3841
2086,4062,7166,3808
2709,4793,0,6619
15661,8026,0,6833
6732,0,4622,0
0,5979,2696,1092
5383,0,0,0
0,1893,7237,4864
2030,9911,0,1783
2918,2270,1463,0
6163,4751,5272,3093
2182,0,0,7343
5071,0,8445,2146
694,0,8759,15835
0,4566,6742,11599
608,5306,0,0
5935,4817,9444,3066
0,3668,8167,0
1751,0,4552,5361
0,0,276,5794
6045,0,6662,4888
2608,3996,2591,0
0,1960,0,5959
0,0,4764,3423
4475,1474,4693,10761
0,2134,4256,1555
942,4462,0,2393
1562,0,5810,0
10066,5734,3402,8535
7364,888,1581,6298
2746,3648,7674,6124
9942,0,5153,1381
2439,4254,1642,0
3103,0,8074,0
1539,5826,2514,2304
0,4562,1648,10045
3866,6001,6788,2499
0,7719,0,0
4039,10356,3745,0
3321,525,0,1980
654,1830,0,1689
0,7776,3834,0
0,4546,0,0
3292,10510,5385,9654
3826,0,0,0
2083,2230,5803,0
7618,958,8593,6813
620,0,0,1696
3779,779,0,0
4170,0,2343,500
1230,9256,847,161
4175,8229,4971,0
5582,0,10808,2871
2456,4472,0,0
0,0,14583,678
4971,0,0,0
0,0,2484,0
3241,9419,574,4709
9637,2050,3810,4951
0,0,3775,1047
0,2886,2217,7823
0,5200,3422,708
3936,8206,2286,9616
7790,0,4591,10521
0,264,1141,3812
11323,1680,0,0
1337,831,6939,2428
0,0,5161,6752
5172,588,0,5805
9425,1616,148,4436
5931,6264,3334,4733
0,8749,1686,886
2091,0,3770,0
13335,1669,2746,0
0,9237,6350,0
3292,2206,2214,2862
367,0,3176,1567
6926,0,2823,5262
0,1455,6077,3631
0,4619,3201,0
5248,2004,2794,7262
0,0,6451,8470
2384,1624,4489,6506
0,6360,0,0
9961,7558,5695,2029
140,0,2378,0
6228,0,1595,0
1595,720,0,3170
5732,4751,4925,5154
795,0,2220,3092
8767,699,0,0
1568,3568,0,4454
9454,0,0,0
1890,3820,6926,0
3912,6707,9194,4629
3762,3683,0,4279
5775,1213,9300,0
6168,0,0,2568
3660,0,4834,14520
0,0,956,5619
0,0,8012,0
0,2636,0,0
1703,0,0,0
12197,5898,6423,5797
13773,1051,0,6122
4033,0,4654,0
5484,0,0,3339
4803,0,0,4253
0,6925,2201,0
4523,4481,0,0
1943,0,1142,0
9685,7886,7984,0
3976,2546,3411,0
3954,0,0,0
7830,5543,0,0
0,4439,2042,0
266,8269,0,5313
3794,6734,848,1598
2759,0,0,698
2941,9183,11192,4073
0,0,2811,1027
0,2103,4871,0
0,0,15274,2279
5154,620,3278,3569
0,0,2406,1536
0,0,4456,3118
2666,1301,6223,2107
8541,5127,0,0
0,1196,632,6068
4821,4100,0,681
9244,4049,10926,8282
4374,1077,2439,5547
0,1861,0,3124
1609,1655,4129,3705
9092,9273,887,0
4042,2742,6349,2195
4915,5060,3118,7239
6208,4434,4727,996
0,4253,0,1032
6864,0,1637,0
0,2961,0,9168
1486,823,4392,5319
0,10547,5290,1391
4534,0,4166,3391
2193,9373,7948,2241
2386,10434,0,1583
4525,3766,0,7381
6987,6223,8997,0
1781,0,2538,7487
573,11329,5022,1772
1461,6270,7915,484
0,2839,0,0
5318,3462,0,686
0,1912,0,0
1431,3403,3015,2284
0,2280,6184,4092
0,4930,0,201
5305,0,0,0
2204,4090,0,2746
0,3630,8370,7241
6038,3595,1623,3753
9471,0,0,778
7426,0,7861,9279
2894,1818,4101,5107
0,3147,8528,0
2749,1953,0,12433
6245,1140,488,5929
13956,6532,15786,0
5510,0,5157,2155
0,7835,4181,2080
5820,9406,1957,764
3742,0,1791,0
3390,6564,0,7151
0,0,0,4644
2184,1382,0,0
3888,3827,4376,1362
0,1878,4439,0
9708,384,1127,0
0,0,2360,0
5539,0,0,1078
1929,259,5908,10320
0,0,5364,16890
0,0,2432,2939
11932,5044,8515,1476
3323,0,0,0
6729,3127,0,4776
0,4262,8037,2679
11278,5605,1624,4098
8059,2702,0,5278
0,8021,6681,4957
5317,0,0,3782
4863,3324,393,2841
0,10133,1763,2335
5203,0,0,3254
4238,12305,4087,2602
5642,520,3146,3215
2277,0,4081,0
9922,5343,0,5955
2472,4687,9833,442
6429,3573,5018,9073
6231,2506,3154,9201
1148,1175,0,1392
4106,1475,0,566
7412,8943,9509,0
5231,4052,3681,6905
1111,0,1474,0
2152,0,0,4152
4824,865,0,0
0,1553,5444,1528
0,0,0,1842
1588,0,1730,0
4280,0,3956,472
6160,3066,5145,474
1125,2540,7217,3742
0,2068,0,5208
5951,0,4476,0
1669,6418,0,4672
7984,3799,0,3532
8800,2895,2641,5034
1448,5022,0,6211
4636,0,8245,1872
3441,858,5910,3452
5230,14950,0,3161
0,3334,0,2360
0,0,4969,0
3419,0,3101,0
5077,0,1319,0
5603,7890,6417,7157
7765,1113,1742,6725
9315,900,2945,4540
1740,0,1869,0
0,3751,7028,4879
12296,4597,10294,2436
546,0,4253,9064
5088,1989,2409,4403
4856,848,0,5635
858,1549,380,0
0,0,10790,6084
0,5015,2456,0
461,3480,690,3430
7622,10844,0,3254
3281,3228,16665,3541
1856,0,2190,4300
3625,3221,2884,8206
1321,1365,3330,6825
5010,5532,0,4101
0,4559,0,800
0,5110,8942,0
3328,9567,0,0
7205,3232,5597,6089
2964,5165,3263,0
3902,4088,2473,1421
0,0,0,4554
8513,0,1270,4281
5176,640,3392,367
3920,1389,0,0
2857,0,1333,10650
4889,7801,7570,4982
2646,5974,5294,1308
1784,7861,3103,0
4986,2439,0,7210
2927,497,0,7377
0,3431,587,1525
6934,3152,0,4221
9376,3663,12630,0
23308,6351,3408,3645
0,8540,5249,3189
0,4645,3722,2866
6310,2619,0,5818
0,8120,6431,0
5372,0,0,1845
4678,0,9395,5373
4821,2352,0,2729
3607,0,1010,17488
4741,5206,1976,5924
1888,7308,0,0
3120,9506,4081,0
0,0,2346,5339
3212,1985,4149,0
0,6704,5735,3372
4221,3885,0,2735
4723,3944,5089,0
0,10171,898,0
3751,1234,3868,3871
830,1266,8830,2479
1139,958,3367,6474
4664,0,5526,0
3048,1662,7211,3574
0,0,6781,1656
0,3313,0,1347
987,0,0,10455
1834,3425,4061,3854
1304,4605,9611,0
3894,709,3546,4425
1456,0,4475,0
0,0,2693,1453
0,12095,6053,5326
6281,7321,0,778
3508,0,1518,11476
1335,7149,1426,2622
0,11866,0,0
8332,8523,4118,0
0,7335,2775,9847
7222,0,0,7183
0,2452,9198,3037
3710,14545,10115,0
10952,1429,2742,568
6694,2618,4964,0
1747,1971,3309,3643
5322,0,9986,0
1402,4575,6023,400
8049,3962,10245,8831
2405,5659,0,0
2901,9849,7338,8996
0,8174,8823,4921
598,9989,11892,3859
2608,11982,0,1286
0,5508,0,3952
0,1141,3918,3235
5474,0,0,0
6071,2795,1203,4774
4432,7135,0,2251
0,4208,1822,9300
10696,3976,6826,0
1611,0,0,5609
2698,6976,0,5567
13644,0,0,3926
1467,3011,970,0
0,5520,2756,1733
5708,0,3441,8412
2975,0,435,4267
0,0,3061,0
8223,0,7357,3462
2498,1201,0,1734
4019,6418,0,4667
0,0,1685,0
0,3617,0,0
3298,0,4659,557
0,1764,5151,4728
4589,5038,2564,2653
7739,0,4676,4910
3379,0,0,3779
0,14914,0,4093
5100,5054,0,7664
16546,997,6813,8894
0,5258,7896,7416
8109,0,0,0
3316,4636,5528,6554
7972,4238,10625,11774
4130,5306,8756,8734
7210,4243,5594,0
9015,3379,453,3106
3925,2102,4445,0
0,8775,4625,0
